source_id,organization,title,publication_version,url,notes
SRC-NIST-SP800-161R1,NIST,Cybersecurity Supply Chain Risk Management Practices for Systems and Organizations,"SP 800-161 Rev. 1, Update 1",https://csrc.nist.gov/pubs/sp/800/161/r1/upd1/final,"Primary guidance for identifying, assessing, and mitigating cybersecurity supply-chain risk."
SRC-CISA-PHISHING,CISA,Phishing Guidance: Stopping the Attack Cycle at Phase One,Current guidance,https://www.cisa.gov/resources-tools/resources/phishing-guidance-stopping-attack-cycle-phase-one,"Authoritative phishing guidance covering attack techniques, user education, reporting, and defensive measures."
SRC-MITRE-CWE367,MITRE,CWE-367: Time-of-check Time-of-use Race Condition,CWE 4.20,https://cwe.mitre.org/data/definitions/367.html,Authoritative weakness description for TOCTOU race conditions.
SRC-NIST-SP800-190,NIST,Application Container Security Guide,SP 800-190,https://csrc.nist.gov/pubs/sp/800/190/final,"Primary guidance on container architecture, shared-kernel implications, images, registries, runtimes, and hosts."
SRC-NIST-SP800-41R1,NIST,Guidelines on Firewalls and Firewall Policy,SP 800-41 Rev. 1,https://csrc.nist.gov/pubs/sp/800/41/r1/final,"Primary guidance for firewall placement, policy, segmentation, configuration, and testing."
SRC-RFC8446,IETF,The Transport Layer Security Protocol Version 1.3,RFC 8446,https://www.rfc-editor.org/rfc/rfc8446.html,Internet Standards Track specification for TLS 1.3 secure communications.
SRC-NIST-SP800-88R2,NIST,Guidelines for Media Sanitization,SP 800-88 Rev. 2,https://csrc.nist.gov/pubs/sp/800/88/r2/final,"Current primary guidance for media sanitization, cryptographic erase, verification, reuse, and disposal."
SRC-NIST-SP800-137,NIST,Information Security Continuous Monitoring for Federal Information Systems and Organizations,SP 800-137,https://csrc.nist.gov/pubs/sp/800/137/final,"Primary guidance for monitoring strategies, visibility, analysis, reporting, and response to findings."
SRC-NIST-SP800-92,NIST,Guide to Computer Security Log Management,SP 800-92,https://csrc.nist.gov/pubs/sp/800/92/final,"Primary guidance for log collection, infrastructure, analysis, storage, and investigation support."
SRC-NIST-SP800-94,NIST,Guide to Intrusion Detection and Prevention Systems,SP 800-94,https://csrc.nist.gov/pubs/sp/800/94/final,Primary guidance distinguishing detection and prevention capabilities and deployment considerations.
SRC-NIST-SP800-115,NIST,Technical Guide to Information Security Testing and Assessment,SP 800-115,https://csrc.nist.gov/pubs/sp/800/115/final,Primary guidance for planning and conducting technical security tests and assessments.
SRC-NIST-CSF2,NIST,The NIST Cybersecurity Framework,"CSF 2.0, CSWP 29",https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,"Primary governance and cybersecurity risk-management framework, including the GOVERN function."
SRC-NIST-PRIVACY-FRAMEWORK,NIST,NIST Privacy Framework: A Tool for Improving Privacy Through Enterprise Risk Management,"Version 1.0, CSWP 10",https://csrc.nist.gov/pubs/cswp/10/nist-privacy-framework-version-10/final,Primary privacy-risk framework supporting data-processing limitation and minimization concepts.
SRC-RFC6960,IETF,X.509 Internet Public Key Infrastructure Online Certificate Status Protocol - OCSP,RFC 6960,https://www.rfc-editor.org/rfc/rfc6960.html,Internet Standards Track specification for obtaining timely X.509 certificate revocation status.
SRC-OWASP-SQLI,OWASP,SQL Injection Prevention Cheat Sheet,Current Cheat Sheet Series guidance,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,Authoritative application-security guidance recommending prepared statements and parameterized queries.
SRC-MITRE-T1071-004,MITRE,Application Layer Protocol: DNS,"ATT&CK T1071.004, Version 1.4",https://attack.mitre.org/techniques/T1071/004/,Authoritative ATT&CK description of adversary command-and-control communication and tunneling over DNS.
SRC-NIST-SP800-153,NIST,Guidelines for Securing Wireless Local Area Networks,SP 800-153,https://csrc.nist.gov/pubs/sp/800/153/final,"Primary guidance for secure WLAN design, configuration, maintenance, and monitoring."
SRC-NIST-SP800-63C-4,NIST,Digital Identity Guidelines: Federation and Assertions,SP 800-63C-4,https://csrc.nist.gov/pubs/sp/800/63/c/4/final,"Current NIST federation and assertion guidance, finalized July 2025."
SRC-NIST-SP800-40R4,NIST,Guide to Enterprise Patch Management Planning: Preventive Maintenance for Technology,SP 800-40 Rev. 4,https://csrc.nist.gov/pubs/sp/800/40/r4/final,"Primary guidance for identifying, prioritizing, installing, and verifying enterprise patches."
SRC-NIST-SP800-30R1,NIST,Guide for Conducting Risk Assessments,SP 800-30 Rev. 1,https://csrc.nist.gov/pubs/sp/800/30/r1/final,"Primary risk-assessment guidance covering likelihood, impact, controls, and residual risk."
SRC-OASIS-SAML2,OASIS Open,Security Assertion Markup Language Version 2.0,OASIS Standard,https://www.oasis-open.org/standard/saml/,Authoritative SAML 2.0 standards set for exchanging authentication and authorization assertions.
SRC-NIST-SP800-53B,NIST,Control Baselines for Information Systems and Organizations,"SP 800-53B, Release 5.2.0",https://csrc.nist.gov/pubs/sp/800/53/b/upd1/final,"Primary control-baseline tailoring guidance, including documented compensating controls that provide equivalent or comparable protection."
SRC-OWASP-XSS,OWASP,Cross Site Scripting Prevention Cheat Sheet,Current Cheat Sheet Series guidance,https://cheatsheetseries.owasp.org/cheatsheets/Cross_Site_Scripting_Prevention_Cheat_Sheet.html,"Authoritative application-security guidance for contextual output encoding, sanitization, and other XSS defenses."
SRC-MITRE-T1550-002,MITRE,Use Alternate Authentication Material: Pass the Hash,ATT&CK T1550.002,https://attack.mitre.org/techniques/T1550/002/,Authoritative ATT&CK description of authentication using a stolen password hash without the plaintext password.
SRC-RFC4253,IETF,The Secure Shell (SSH) Transport Layer Protocol,RFC 4253,https://www.rfc-editor.org/rfc/rfc4253.html,"Internet Standards Track specification for secure remote login transport with encryption, server authentication, and integrity."
SRC-NIST-SP800-124R2,NIST,Guidelines for Managing the Security of Mobile Devices in the Enterprise,SP 800-124 Rev. 2,https://csrc.nist.gov/pubs/sp/800/124/r2/final,"Primary mobile-device lifecycle and enterprise mobility management guidance, including selective and full remote wipe considerations."
SRC-RFC6749,IETF,The OAuth 2.0 Authorization Framework,RFC 6749,https://www.rfc-editor.org/rfc/rfc6749.html,Internet Standards Track framework for delegated authorization without sharing a resource owner's credentials with the client.
SRC-NIST-IR8286A-R1,NIST,Identifying and Estimating Cybersecurity Risk for Enterprise Risk Management,NIST IR 8286A Rev. 1,https://csrc.nist.gov/pubs/ir/8286/a/r1/final,"Current NIST enterprise risk guidance with risk appetite, risk tolerance, likelihood, impact, and risk-analysis examples."
SRC-OWASP-SSRF,OWASP,Server-Side Request Forgery Prevention Cheat Sheet,Current Cheat Sheet Series guidance,https://cheatsheetseries.owasp.org/cheatsheets/Server_Side_Request_Forgery_Prevention_Cheat_Sheet.html,"Authoritative application-security guidance for SSRF risks, allowlisting, network controls, and cloud metadata protection."
SRC-MITRE-T1568-002,MITRE,Dynamic Resolution: Domain Generation Algorithms,ATT&CK T1568.002,https://attack.mitre.org/techniques/T1568/002/,Authoritative ATT&CK description of algorithmically generated domains used to locate command-and-control infrastructure.
SRC-NIST-SP800-193,NIST,Platform Firmware Resiliency Guidelines,SP 800-193,https://csrc.nist.gov/pubs/sp/800/193/final,"Primary guidance for protecting, detecting changes to, and recovering platform firmware and boot components."
